time,open,high,low,close,vwap,volume,count
1499924700,186.50033,191.20473,186.0,189.50088,188.86999,2372.37790572,421
1499925600,189.0,189.84599,187.33607,187.79993,189.3969,3150.93491028,431
1499926500,187.79993,188.5,186.5,187.079,187.22839,895.62935293,252
1499927400,187.079,187.079,184.77,184.81499,185.2219,2314.15792918,439
1499928300,184.81605,185.30993,184.0,185.15,184.44554,1411.10366436,303
1499929200,185.15,186.273,184.8795,185.5705,185.36152,1189.81421365,244
1499930100,185.57049,185.82173,185.00009,185.7988,185.57933,535.53489542,238
1499931000,185.737,185.7988,183.00001,183.1,183.96466,1678.03015705,368
1499931900,183.1,183.1,183.0,183.0,183.00648,1487.60707172,173
1499932800,183.0,183.0,180.35943,181.56584,181.18903,4588.53650558,569
1499933700,181.56584,186.0,181.36,184.0,184.03569,2833.19848834,607
1499934600,183.94515,186.47154,183.28101,186.47154,185.10796,3147.74403234,415
1499935500,186.21802,189.0,186.08,186.29931,187.48947,2611.81581571,527
1499936400,186.58,186.99831,183.61813,185.0,184.86094,1918.77251782,331
1499937300,185.09999,186.50499,184.28928,184.28928,185.54701,1910.72737004,374
1499938200,184.68264,185.0,182.00101,183.0,183.11647,1805.16508751,383
1499939100,182.95967,184.0,182.66088,182.75006,183.05976,1487.3506681,277
1499940000,182.95679,182.95679,181.0,181.00008,181.70685,3138.21590272,358
1499940900,181.61134,183.0,181.0,182.4999,181.43968,4329.59529771,414
1499941800,182.3,184.741,182.287,184.741,183.81791,2522.51447224,359
1499942700,183.58767,185.62094,183.40189,184.0,184.50144,2301.99128693,329
1499943600,183.81611,186.0,183.0,185.1,184.46475,2309.44282805,490
1499944500,185.09999,186.90497,184.0,184.0,185.27156,2236.5304706,292
1499945400,184.0,185.89878,183.82311,185.89867,184.65997,1553.19935766,196
1499946300,185.89759,186.0,185.172,186.0,185.70346,1278.58981864,255
1499947200,185.99999,188.88,185.5,186.93501,187.41193,2439.69202748,397
1499948100,186.93501,187.79884,185.72012,185.72012,186.48212,2164.41874452,321
1499949000,185.73292,185.73292,184.0,184.49976,184.80909,1181.07185431,273
1499949900,184.10008,184.946,184.0,184.0,184.48892,509.08471889,154
1499950800,184.0,184.3,182.42928,182.758,183.19538,2046.59231084,360
1499951700,182.65,182.758,181.13509,181.13509,181.82401,1942.2021239,269
1499952600,181.13509,184.0,181.13509,183.20999,182.5147,1551.05756052,295
1499953500,183.20999,183.60999,183.2,183.22,183.24106,738.58796918,250
1499954400,183.22,183.99978,183.2,183.39982,183.41907,659.18469175,178
1499955300,183.39983,183.47,181.13509,181.13516,182.59057,949.69964572,235
1499956200,181.7,182.22198,181.13509,181.73787,181.77939,1180.19582951,253
1499957100,181.73789,183.46949,181.73789,183.43999,182.84407,952.58995372,257
1499958000,183.43998,183.44,181.00009,181.00009,181.73894,1211.46934165,307
1499958900,181.047,181.0995,179.371,179.371,180.40187,7880.54607741,690
1499959800,179.3,179.3,175.84862,176.0,177.52896,5095.33300492,671
1499960700,176.4,176.4,175.0,175.36837,175.37114,3769.60510141,605
1499961600,175.36837,178.0,174.9,178.0,176.9712,3682.67626522,471
1499962500,178.0,178.0,175.20004,176.19999,176.57264,1151.64418489,243
1499963400,176.19996,176.2,173.88891,175.83525,174.84855,4075.91035134,587
1499964300,175.76,177.478,175.11307,177.477,176.49702,1336.43334206,320
1499965200,177.40998,177.47798,174.68001,176.1414,175.65041,1246.49338407,260
1499966100,176.1414,176.1414,174.21,174.22001,174.93518,2513.65605455,383
1499967000,174.22001,175.0428,171.10156,171.5997,173.12288,3735.64266655,499
1499967900,171.5997,173.27993,170.5,170.8,171.67997,3710.8485989,761
1499968800,170.88214,171.19989,170.1,171.14099,170.50605,1852.68035781,435
1499969700,170.90639,174.69999,170.44001,174.49999,172.98461,2724.58996509,511
1499970600,174.34798,177.48417,172.98694,173.0,175.73164,3517.15981139,758
1499971500,173.0,175.7536,172.98694,174.07217,174.20727,3310.03999539,500
1499972400,174.27955,174.27955,171.99,171.99,172.62549,2042.85286557,326
1499973300,171.99,174.66,171.99,173.6,173.25547,2002.52977026,371
1499974200,173.6,174.0,172.8217,173.02368,173.69163,1583.09626717,343
1499975100,174.0,174.19884,173.023,174.09999,173.90267,313.11596864,206
1499976000,174.1,175.89,174.1,175.4669,174.54577,2572.53677122,290
1499976900,175.54601,175.99999,174.1,174.57957,174.62277,1198.82976218,231
1499977800,174.57957,178.5,174.48,176.66097,176.84296,3250.22663162,495
1499978700,176.0,178.81,175.75127,178.01,177.5467,1709.33627245,364
1499979600,177.79497,178.1,174.662,174.9995,175.98228,2126.30969032,320
1499980500,174.9,176.63522,174.9,175.43855,175.02527,1774.71879037,340
1499981400,175.49993,176.83,175.1,175.847,175.82379,1310.78154188,213
1499982300,175.625,175.856,174.9,175.62987,175.12957,1497.65022509,172
1499983200,175.62987,177.11898,175.62987,177.07676,176.76454,1133.5053267,240
1499984100,177.07676,179.94999,176.7105,178.7,178.62834,1660.07451576,309
1499985000,178.7,179.72082,177.16902,178.69,178.40779,692.34172763,239
1499985900,179.67893,180.90985,179.116,180.2888,180.31593,1823.9707765,329
1499986800,180.47504,180.47504,177.62621,179.4,178.69718,1128.64746406,236
1499987700,179.4,181.0,179.31401,181.0,180.25725,726.29931419,161
1499988600,181.0,181.99,180.82352,181.99,181.81893,1221.95215139,192
1499989500,181.99,181.99,179.76027,180.34382,181.08939,796.59563315,167
1499990400,179.737,181.68,179.5,181.66598,181.19314,646.96787076,117
1499991300,181.6659,181.79999,179.39481,180.0,180.81564,539.40334215,178
1499992200,180.0,180.0,177.43679,177.55403,178.24464,748.54658804,190
1499993100,177.46001,178.001,175.68837,178.0,176.73739,1230.87143349,191
1499994000,177.99733,178.7,176.33451,176.35,177.47249,384.14722442,149
1499994900,176.29478,177.9805,175.36901,175.36901,176.91296,891.23760458,184
1499995800,175.5175,176.09626,174.50001,176.09259,174.9145,616.41825349,171
1499996700,176.08149,176.08149,173.6,174.18643,174.4734,673.25315274,166
1499997600,174.44491,176.99999,173.6,176.99998,175.59797,452.62691543,135
1499998500,176.934,177.15649,175.0,175.2497,176.2787,252.02112881,97
1499999400,175.099,176.0,174.5,175.05102,175.20212,432.80802883,109
1500000300,175.05505,175.74865,175.00003,175.228,175.2669,12.6902681,44
1500001200,175.00005,176.5722,174.88581,176.30064,175.56714,77.69112466,54
1500002100,176.30064,176.6604,175.69738,175.7026,175.95014,23.74968082,28
1500003000,175.70361,176.29934,175.45967,175.509,175.80083,29.01692935,29
1500003900,175.50902,176.29997,174.625,175.89713,175.73719,787.23614724,55
1500004800,175.89713,175.8972,175.257,175.257,175.76427,25.22939458,34
1500005700,175.25701,176.69999,175.0,176.69999,175.42939,102.15469649,78
1500006600,176.50895,177.69745,176.50416,176.50416,176.98374,129.79013232,82
1500007500,176.502,177.59199,176.502,177.38058,177.45186,157.93031142,96
1500008400,177.13272,177.50008,176.29001,176.46674,177.11671,415.21695905,76
1500009300,176.46695,177.175,176.46695,176.67435,176.72881,149.33300552,76
1500010200,176.68763,177.328,176.46846,177.03868,176.70933,445.44193177,87
1500011100,177.03868,177.328,176.52476,177.00152,177.24457,191.06663208,77
1500012000,177.00175,177.328,176.499,176.958,177.0336,1030.97128802,155
1500012900,176.73004,177.15,174.7,174.7,175.59321,814.27000263,147
1500013800,174.7,177.383,174.7,177.15,175.91597,1487.11239984,241
1500014700,177.14998,178.20478,177.0001,177.56332,177.6084,780.09781625,145
1500015600,177.55,178.5,177.1545,178.23399,177.70058,665.79854921,213
1500016500,178.01015,178.21984,177.34699,177.71998,177.79259,494.60888958,94
1500017400,177.71,178.99,177.57801,178.87165,178.44178,440.80129225,188
1500018300,178.28801,178.5,177.79217,178.3,178.27162,205.69522602,79
1500019200,178.11642,178.11642,176.18937,176.855,177.92004,463.78580467,175
1500020100,176.84998,176.85,176.0,176.81,176.47867,421.72536108,146
1500021000,176.8,177.16393,176.29171,176.71001,176.74741,158.72398475,113
1500021900,176.71001,177.11999,176.299,176.29907,176.68606,605.86163259,153
1500022800,176.5171,177.06,176.0714,176.59075,176.6445,663.27852181,134
1500023700,176.45915,176.97,176.1067,176.9,176.73879,771.44470076,187
1500024600,176.96998,177.99996,176.76613,177.1,177.29538,926.32345687,145
1500025500,177.1,177.1,176.29302,177.0,176.77776,556.86831823,121
1500026400,177.0,177.0,176.06201,176.69997,176.44535,709.09218767,148
1500027300,176.69997,176.94966,175.1,175.1,175.87431,996.50694791,193
1500028200,175.75,176.49028,175.1,176.49028,175.64044,1101.20824859,230
1500029100,176.49023,176.704,176.281,176.28996,176.50579,197.82839007,74
1500030000,176.54999,176.59999,176.00002,176.49998,176.3744,275.88036661,119
1500030900,176.49998,176.59999,176.41252,176.59998,176.5075,391.36644343,145
1500031800,176.59998,176.80945,176.082,176.38973,176.56887,394.82616399,101
1500032700,176.39999,176.5,175.69343,176.01463,176.11015,920.99131391,186
1500033600,176.01463,176.01464,174.4,174.4,174.94428,487.59219575,194
1500034500,174.4,174.4,171.99,172.5,172.97711,4520.07583418,560
1500035400,172.5,172.5,170.5,170.9998,171.49448,4262.6303559,586
1500036300,170.9998,171.948,169.025,169.025,170.33283,4593.76941404,647
1500037200,169.4,169.75,168.16,169.75,168.73442,3360.82804338,583
1500038100,169.75,171.718,169.52,170.3137,170.85815,3664.34025561,590
1500039000,170.3137,170.98367,169.52,170.08901,170.10709,1851.6990628,420
1500039900,170.11478,170.99,169.70001,170.521,170.44559,3068.75580754,277
1500040800,170.521,170.521,167.1,167.10001,168.10064,3473.72578175,445
1500041700,167.10001,168.09869,165.69307,165.69307,167.03163,7847.09530408,634
1500042600,165.663,167.18125,164.50552,167.18125,165.26406,8118.63317822,762
1500043500,167.13898,170.45045,167.01,167.49002,168.77118,4644.64905274,648
1500044400,167.451,169.89999,167.0335,169.7,168.18673,2503.71045079,417
1500045300,169.50001,170.4,169.37699,169.59396,169.82739,2990.64040791,344
1500046200,169.77834,170.0,167.53456,167.53464,169.13324,1907.48322332,285
1500047100,167.53464,168.0,164.9107,165.1003,166.65879,3217.57778468,421
1500048000,165.59999,167.489,165.11008,166.9,166.64624,4678.13095247,486
1500048900,166.8995,167.00044,163.0,163.0,164.18365,4539.31835809,575
1500049800,163.0,165.99995,162.123,162.80003,163.32429,8389.4115644,806
1500050700,162.80003,164.29454,161.7272,162.25049,162.43998,3977.72892519,452
1500051600,162.25049,162.40636,161.21,161.35162,161.59599,5246.27413232,519
1500052500,161.35001,164.99999,161.35001,164.0,163.10116,5025.10907939,759
1500053400,164.0,164.0,161.6,162.8537,162.49176,3022.33222515,425
1500054300,162.5083,164.94774,162.04,164.5,163.60277,2062.01457049,455
1500055200,164.5,167.25317,164.12914,164.77999,165.41578,3757.40715207,555
1500056100,164.42,165.903,164.31,165.60001,165.07939,1490.20014959,411
1500057000,165.60001,169.064,165.60001,168.5,167.57938,3472.00311471,566
1500057900,168.5,169.8,168.11048,169.61008,169.30037,1855.05719576,268
1500058800,169.61008,169.8,167.14848,168.0,169.24917,7494.86348394,787
1500059700,168.00168,168.09827,166.5113,167.55533,167.55436,2803.8567737,469
1500060600,167.55533,169.7,167.53548,168.55336,168.74379,3663.19856702,437
1500061500,168.01,168.89818,166.81207,167.236,167.81755,1373.50010683,309
1500062400,167.236,167.89995,165.3575,165.3575,166.1109,1640.28011463,382
1500063300,165.3575,167.32959,165.3575,165.5,165.7238,4341.69353584,395
1500064200,165.5,166.5,163.825,166.5,165.25089,3699.18149438,448
1500065100,166.3,168.1102,166.3,166.681,167.25756,1291.2391555,260
1500066000,166.35076,167.0,165.19993,166.989,165.83724,1493.12016745,353
1500066900,166.989,169.249,166.989,168.9,168.17698,1828.26695945,373
1500067800,168.9,171.03959,168.814,169.49846,169.88072,2121.27684122,425
1500068700,169.35,170.76507,169.0,169.60163,169.64505,1653.86541534,286
1500069600,169.59949,170.0,167.81614,168.29822,169.13375,494.65695118,194
1500070500,168.29822,168.47,167.00007,167.77715,167.96142,513.16826163,152
1500071400,167.79995,170.24004,167.19515,170.06491,169.30557,1220.04814204,309
1500072300,170.23999,171.03959,169.55,170.0,170.20137,965.99567269,203
1500073200,170.0,173.0,170.0,172.47699,171.73758,2767.59295588,385
1500074100,172.47699,175.0,172.47699,173.5,173.8095,4347.61057575,528
1500075000,173.30774,173.965,171.5,171.5,172.44814,720.31209419,251
1500075900,171.86982,174.21234,171.5,172.58001,172.66094,293.18736316,167
1500076800,172.58,173.31499,172.113,172.113,172.80652,688.00187422,135
1500077700,172.0,173.97518,171.6,173.97518,172.31049,472.36785404,172
1500078600,173.51601,173.97518,172.73111,173.32008,173.81006,68.06233816,32
1500079500,173.32009,173.44667,172.00047,172.32726,172.91788,179.80960936,70
1500080400,172.00202,172.641,172.0,172.62136,172.29283,30.64540648,37
1500081300,172.28414,172.70415,170.21007,170.50001,171.72142,509.35223761,110
1500082200,170.21016,171.201,169.39303,169.80044,170.11878,636.40281302,139
1500083100,169.75,169.75,166.75907,168.19115,167.4327,727.068821,277
1500084000,167.80345,168.3519,166.1,166.17501,167.32084,965.62553924,175
1500084900,166.7077,167.45522,166.1,166.95526,166.60909,378.4428806,129
1500085800,166.95525,168.6457,166.1,166.541,167.38254,384.83650549,166
1500086700,166.302,166.327,163.911,164.9333,164.91223,1097.35202527,254
1500087600,164.92996,169.75521,164.92995,168.36513,167.39858,1056.3055986,216
1500088500,168.08516,168.08517,164.57438,164.57438,166.41656,403.37424021,211
1500089400,165.162,166.99999,163.78459,166.174,165.13796,1204.33986374,289
1500090300,165.961,166.16287,163.99999,164.57433,164.82008,710.92993198,194
1500091200,164.57434,166.1,164.14901,166.1,165.3158,459.77895815,157
1500092100,165.82001,167.77499,165.23407,166.29959,166.74072,1056.52075133,249
1500093000,166.32,168.2,166.30125,167.26834,167.47527,623.85339577,202
1500093900,167.26834,167.825,166.1,166.1,167.25463,381.12577476,150
1500094800,166.75252,167.39982,166.21917,166.90584,166.90322,78.41064304,85
1500095700,167.1111,167.1111,165.0011,165.01115,166.01649,146.6223047,159
1500096600,165.00111,165.83192,164.31,164.40409,164.81845,2173.13736708,164
1500097500,164.99992,164.99992,163.63998,164.0,164.07793,1095.28285278,267
1500098400,164.0,165.039,163.10001,163.10001,163.69301,1142.80644259,268
1500099300,163.212,164.46299,162.84601,164.43126,163.75091,1228.11028427,215
1500100200,164.43138,165.59765,163.70001,165.25279,164.4075,1622.43449251,250
1500101100,164.99188,166.61797,162.50109,163.999,164.1458,4232.32731402,416
1500102000,163.99998,164.452,162.091,162.59992,163.01613,2657.57457194,351
1500102900,162.31195,163.454,162.227,162.227,162.7784,1246.61271396,237
1500103800,162.23,162.49989,161.3,161.64301,161.83922,3877.636639,406
1500104700,161.55,161.8998,160.24,160.704,161.05222,5568.01860714,601
1500105600,160.704,164.273,160.704,163.41102,163.08692,1925.03061642,311
1500106500,163.41102,163.857,160.11201,161.935,162.17496,4459.81295621,511
1500107400,161.935,161.935,158.12,159.0,159.83531,4763.41837124,978
1500108300,159.0,159.88999,158.0,159.8,158.82956,3142.78902472,631
1500109200,159.62,162.89949,159.17681,162.89949,160.65118,3114.82622728,515
1500110100,162.6476,163.295,159.6418,159.99999,161.14312,2733.21015952,494
1500111000,159.83315,160.57,158.0,160.0,159.05897,2648.51662644,437
1500111900,160.00001,160.78692,158.99271,160.0,159.7199,1350.76175308,255
1500112800,159.99999,161.75176,159.99999,161.75176,160.71979,1231.36803161,271
1500113700,161.5,162.89993,161.01008,162.0,161.88065,1554.06419854,313
1500114600,161.95689,162.527,161.33546,162.0,162.05388,1511.13325099,249
1500115500,162.03453,162.127,160.51,161.46209,161.56014,1650.95814752,191
1500116400,161.46208,162.14299,161.46208,161.5,161.94343,2563.19156833,370
1500117300,161.52736,161.67249,159.08,160.183,160.20914,3494.61769945,412
1500118200,160.183,161.536,159.99,161.01007,160.80047,2006.65145353,280
1500119100,161.49496,161.49601,160.486,160.69998,160.86325,477.84453804,278
1500120000,160.79825,161.0,158.55,159.8003,159.48559,1491.13630937,301
1500120900,160.08716,160.08716,157.33436,158.39983,158.45089,2182.09014147,383
1500121800,158.39841,158.39983,157.322,157.6123,157.85882,1034.18926868,389
1500122700,157.6123,158.88441,156.22,158.45892,157.39774,2702.68642702,651
1500123600,158.84393,160.68877,158.25414,160.68877,159.41077,2290.50575413,385
1500124500,160.13947,161.0,158.45005,159.25,160.25361,2019.75442496,336
1500125400,159.427,159.7,158.0,158.0,158.8282,986.83086066,140
1500126300,157.886,157.88601,156.33369,156.33369,156.88945,2163.99250728,258
1500127200,156.33369,157.43213,156.33369,156.587,156.79242,2768.81940431,536
1500128100,156.37948,156.40599,155.2995,155.3,155.90879,2183.21784261,466
1500129000,155.28426,158.86497,155.28426,157.12193,157.04834,4590.68144381,597
1500129900,157.35799,157.9739,156.53489,157.165,157.26258,1531.39561763,250
1500130800,157.00002,157.165,154.45,154.45,155.11804,4044.39977756,535
1500131700,154.45,154.45,153.0,153.259,153.65717,4800.23254936,711
1500132600,153.1,155.71859,153.0,153.1,154.14062,4899.6184339,547
1500133500,153.1,155.12739,153.1,154.00156,154.18313,3678.95824676,362
1500134400,154.342,155.958,152.1,153.49845,153.21651,6885.15363703,692
1500135300,153.163,155.94891,152.0,155.51402,153.00086,10351.14846726,774
1500136200,155.5,155.8937,152.80739,154.98,154.61064,5322.00813407,733
1500137100,154.98,156.89,152.57323,154.8999,154.34485,6569.52043307,950
